r[cm]	λ[cm]	Q_ext	Q_sca	g
0.02097152	0.0022336336336336335	2.13223698258372	1.2436984518618475	0.875662571718541
0.02097152	0.0022365365365365365	2.1323909350186665	1.2441640698178666	0.8753458564413859
0.02097152	0.0022394394394394395	2.13254538232998	1.2446364649620019	0.8750238452119715
0.02097152	0.0022423423423423424	2.1326998075608428	1.2451086031720238	0.8747021146449901
0.02097152	0.0022452452452452454	2.13285421014505	1.2455804841830318	0.8743806655638966
0.02097152	0.002248148148148148	2.1330085895188122	1.2460521077319737	0.8740594987817556
0.02097152	0.002251051051051051	2.13316294512075	1.2465234735576638	0.8737386151013286
0.02097152	0.002253953953953954	2.133317276391849	1.246994581400746	0.8734180153151488
0.02097152	0.002256856856856857	2.13347158277547	1.2474654310037123	0.8730977002056061
0.02097152	0.00225975975975976	2.133625863717315	1.2479360221108606	0.8727776705450202
0.02097152	0.0022626626626626625	2.1337801183099625	1.2484063544683044	0.8724579270957189
0.02097152	0.0022655655655655655	2.1339343467569516	1.2488764278239513	0.8721384706101156
0.02097152	0.0022684684684684685	2.1340885481082683	1.2493462419274868	0.8718193018307816
0.02097152	0.0022713713713713715	2.134242721819461	1.2498157965303853	0.8715004214905214
0.02097152	0.0022742742742742745	2.134396867348242	1.250285091385886	0.871181830312452
0.02097152	0.002277177177177177	2.1345509841544654	1.250754126249011	0.8708635290100738
0.02097152	0.00228008008008008	2.13469737437342	1.2511332132102009	0.870612933719099
0.02097152	0.002282982982982983	2.1348371782817113	1.2514354653934738	0.8704201569891106
0.02097152	0.002285885885885886	2.134976994100775	1.2517377123091036	0.8702274392591229
0.02097152	0.002288788788788789	2.135116821679449	1.2520399535737412	0.8700347809084865
0.02097152	0.0022916916916916916	2.135256660866438	1.2523421888057005	0.8698421823145064
0.02097152	0.0022945945945945945	2.135396511510318	1.2526444176249274	0.8696496438524489
0.02097152	0.0022974974974974975	2.1355363730844297	1.2529466396530038	0.8694571658955511
0.02097152	0.0023004004004004005	2.1356762462309398	1.2532488545131044	0.8692647488150255
0.02097152	0.0023033033033033035	2.1358161303745553	1.2535510618300163	0.8690723929800672
0.02097152	0.002306206206206206	2.1359560253641505	1.2538532612300903	0.8688800987578602
0.02097152	0.002309109109109109	2.136095931048509	1.254155452341264	0.8686878665135843
0.02097152	0.002312012012012012	2.1362358472763034	1.2544576347930347	0.8684956966104218
0.02097152	0.002314914914914915	2.136375773896094	1.254759808216459	0.8683035894095668
0.02097152	0.002317817817817818	2.1365157107563153	1.255061972244155	0.8681115452702323
0.02097152	0.0023207207207207206	2.1366556577052656	1.2553641265102982	0.8679195645496632
0.02097152	0.0023236236236236236	2.136795614591097	1.2556662706506236	0.8677276476031444
0.02097152	0.0023265265265265266	2.136935581261801	1.2559684043024082	0.8675357947840112
0.02097152	0.0023294294294294296	2.1370755575652343	1.2562705271044825	0.8673440064436597
0.02097152	0.0023323323323323326	2.137215543349115	1.2565726386972014	0.8671522829315549
0.02097152	0.002335235235235235	2.1373555380939706	1.2568747387224382	0.8669606245952375
0.02097152	0.002338138138138138	2.137496434426952	1.2572410435001065	0.8667111558598702
0.02097152	0.002341041041041041	2.1376381114730267	1.2576762480117103	0.8663996223949776
0.02097152	0.002343943943943944	2.13777954380301	1.2581111670599174	0.8660883704588618
0.02097152	0.002346846846846847	2.1379207320390683	1.2585458001703727	0.8657774009997635
0.02097152	0.0023497497497497496	2.138061676796592	1.2589801468770767	0.8654667149512071
0.02097152	0.0023526526526526526	2.13820237868427	1.259414206722259	0.8651563132321515
0.02097152	0.0023555555555555556	2.138342838304178	1.2598479792562665	0.8648461967471472
0.02097152	0.0023584584584584586	2.138483056251867	1.2602814640374835	0.8645363663864883
0.02097152	0.0023613613613613616	2.1386230331164224	1.2607146606322044	0.8642268230263658
0.02097152	0.002364264264264264	2.1387627694805413	1.2611475686145426	0.8639175675290174
0.02097152	0.002367167167167167	2.138902265920627	1.2615801875663357	0.8636086007428793
0.02097152	0.00237007007007007	2.139041523006869	1.262012517077034	0.8632999235027315
0.02097152	0.002372972972972973	2.1391805409267426	1.2624445567435982	0.8629915366298461
0.02097152	0.002375875875875876	2.1393193210331756	1.262876306170387	0.8626834409321235
0.02097152	0.0023787787787787787	2.139457863455574	1.2633077649690638	0.862375637204239
0.02097152	0.0023816816816816817	2.139596168740896	1.2637389327584803	0.8620681262277755
0.02097152	0.0023845845845845847	2.139734237430387	1.2641698091645628	0.8617609087713572
0.02097152	0.0023874874874874876	2.13986775595314	1.2645213365135646	0.8615164248734088
0.02097152	0.0023903903903903906	2.1399991339894906	1.2648358575267633	0.8613012055388064
0.02097152	0.002393293293293293	2.1401304006295194	1.2651502134398949	0.861086148651647
0.02097152	0.002396196196196196	2.1402615558972604	1.265464404271198	0.8608712543205127
0.02097152	0.002399099099099099	2.140392599816246	1.2657784300393717	0.8606565226519994
